Hospital,ED Status,County
A.O. Fox Memorial Hospital,ED OPEN,Otsego
A.O. Fox Memorial Tri-Town,ED OPEN,Delaware
Adirondack Medical Center Saranac Lake,ED OPEN,Franklin
Albany Medical Center Hospital,ED OPEN,Albany
Arnot Ogden Medical Center,ED OPEN,Chemung
Auburn Community Hospital,ED OPEN,Cayuga
Bellevue Hospital Center,ED OPEN,New York
Bertrand Chaffee Hospital,ED OPEN,Erie
BronxCare Center Concourse,ED OPEN,Bronx
BronxCare Center Fulton Mandy,ED OPEN,Bronx
Brookdale Hospital Medical Center,ED OPEN,Kings
Brooklyn Center Downtown,ED OPEN,Kings
Brooks TLC Hospital,ED OPEN,Chautauqua
Buffalo General Medical Center,ED OPEN,Erie
Canton Potsdam Hospital,ED OPEN,St. Lawrence
Carthage Area Hospital,ED OPEN,Jefferson
Cayuga Medical Center Ithaca,ED OPEN,Tompkins
Chenango Memorial Hospital,ED OPEN,Chenango
Claxton Hepburn Medical Center,ED OPEN,St. Lawrence
Clifton Springs Hospital & Clinic,ED OPEN,Ontario
Cobleskill Regional Hospital,ED OPEN,Schoharie
Columbia Memorial Hospital,ED OPEN,Columbia
Community Memorial Hospital,ED OPEN,Madison
Coney Island Hospital,ED OPEN,Kings
Corning Hospital,ED OPEN,Steuben
Crouse Hospital,ED OPEN,Onondaga
Ellis Hospital,ED OPEN,Schenectady
Erie County Medical Center,ED OPEN,Erie
F.F. Thompson Hospital,ED OPEN,Ontario
Flushing Hospital Medical Center,ED OPEN,Queens
Garnet Health Medical Center,ED OPEN,Orange
Geneva General Hospital,ED OPEN,Ontario
Glen Cove Hospital,ED OPEN,Nassau
Glens Falls Hospital,ED OPEN,Warren
Gouverneur Hospital,ED OPEN,St. Lawrence
Guthrie Cortland Medical Center,ED OPEN,Cortland
Guthrie Lourdes Hospital,ED OPEN,Broome
Harlem Hospital Center,ED OPEN,New York
Highland Hospital,ED OPEN,Monroe
Jamaica Hospital Medical Center,ED OPEN,Queens
Jacobi Medical Center,ED OPEN,Bronx
Jones Memorial Hospital,ED OPEN,Allegany
Kenmore Mercy Hospital,ED OPEN,Erie
Kings County Hospital Center,ED OPEN,Kings
Lenox Hill Hospital,ED OPEN,New York
Lewis County General Hospital,ED OPEN,Lewis
Lincoln Medical & Mental Health,ED OPEN,Bronx
Little Falls Hospital,ED OPEN,Herkimer
Long Island Jewish MC,ED OPEN,Nassau
Maimonides MC,ED OPEN,Kings
Margaretville Hospital,ED OPEN,Delaware
Mary Imogene Bassett Hospital,ED OPEN,Otsego
Massena Hospital,ED OPEN,St. Lawrence
Mather Hospital: Port Jefferson,ED OPEN,Suffolk
Medina Memorial Hospital,ED OPEN,Orleans
Mercy Hospital: Buffalo,ED OPEN,Erie
Metropolitan Hospital Center,ED OPEN,New York
Montefiore MC: Henry & Lucy Moses,ED OPEN,Bronx
Montefiore MC: Wakefield Hospital,ED OPEN,Bronx
Montefiore MC: Weiler Hospital,ED OPEN,Bronx
Montefiore: Mount Vernon Hospital,ED OPEN,Westchester
Montefiore: New Rochelle Hospital,ED OPEN,Westchester
Mount Sinai Hospital,ED OPEN,New York
Mount Sinai Hospital of Queens,ED OPEN,Queens
Mount Sinai: Brooklyn,ED OPEN,Kings
Mount Sinai: South Nassau,ED OPEN,Nassau
Mount Sinai: West,ED OPEN,New York
Mount St. Mary's Hospital,ED OPEN,Niagara
Nassau University MC,ED OPEN,Nassau
Nathan Littauer Hospital,ED OPEN,Fulton
Newark-Wayne Community Hospital,ED OPEN,Wayne
Niagara Falls Memorial MC,ED OPEN,Niagara
North Central Bronx Hospital,ED OPEN,Bronx
North Shore University Hospital,ED OPEN,Nassau
Northern Westchester Hospital,ED OPEN,Westchester
NYP: Allen Hospital,ED OPEN,New York
NYP: Brooklyn Methodist,ED OPEN,Kings
NYP: Columbia Center,ED OPEN,New York
NYP: Hudson Valley,ED OPEN,Westchester
NYP: Lower Manhattan,ED OPEN,New York
NYP: Queens,ED OPEN,Queens
NYP: Weill Cornell MC,ED OPEN,New York
NYU Langone: Brooklyn,ED OPEN,Kings
NYU Langone: Long Island,ED OPEN,Nassau
NYU Langone: Tisch,ED OPEN,New York
Olean General Hospital,ED OPEN,Cattaraugus
Oneida Health Hospital,ED OPEN,Madison
Oswego Hospital,ED OPEN,Oswego
Peconic Bay MC,ED OPEN,Suffolk
Phelps Hospital,ED OPEN,Westchester
Plainview Hospital,ED OPEN,Nassau
Putnam Hospital,ED OPEN,Putnam
Queens Hospital Center,ED OPEN,Queens
Richmond University MC,ED OPEN,Richmond
Rochester General Hospital,ED OPEN,Monroe
Rome Memorial Hospital,ED OPEN,Oneida
Samaritan Hospital,ED OPEN,Rensselaer
Samaritan MC,ED OPEN,Jefferson
Samaritan: Albany Memorial,ED OPEN,Albany
Saratoga Hospital,ED OPEN,Saratoga
SBH Health System,ED OPEN,Bronx
Sisters of Charity Hospital,ED OPEN,Erie
South Shore University Hospital,ED OPEN,Suffolk
St. Catherine of Siena Hospital,ED OPEN,Suffolk
St. Joseph's Hospital Health Ctr.,ED OPEN,Onondaga
St. Mary's Healthcare,ED OPEN,Montgomery
St. Peter's Hospital,ED OPEN,Albany
Staten Island University: North,ED OPEN,Richmond
Staten Island University: South,ED OPEN,Richmond
Strong Memorial Hospital,ED OPEN,Monroe
Syosset Hospital,ED OPEN,Nassau
UHS: Binghamton General Hospital,ED OPEN,Broome
UHS: Wilson Medical Center,ED OPEN,Broome
Unity Hospital: Rochester,ED OPEN,Monroe
University: SUNY Downstate,ED OPEN,Kings
UPMC: Chautauqua at WCA,ED OPEN,Chautauqua
Upstate: Community Hospital,ED OPEN,Onondaga
Upstate: University Hospital,ED OPEN,Onondaga
UVM: Alice Hyde Medical Center,ED OPEN,Franklin
UVM: Champlain Valley,ED OPEN,Clinton
Vassar Brothers MC,ED OPEN,Dutchess
Woodhull Medical & Mental Health,ED OPEN,Kings
Wyckoff Heights MC,ED OPEN,Kings
Wynn Hospital,ED OPEN,Oneida
Wyoming County Community Hospital,ED OPEN,Wyoming
